____________________________
|000000000010000010000000000|
|000000000010000010000000000|
|$$11111100100100100111111$$|
|$$10000000000100000000001$$|
|001000000000010000000000100|
|000001001110010011100100000|
|000001001110010011100100000|
|111001000000000000000100111|
-000001000000000000000100000-
-000001110011111110011100000-
|001000000000000000000000100|
|001000000000000000000000100|
|001110010011111110010011100|
|00000001001#####10010000000|
|00000001001#####10010000000|
|001001110011111110011100100|
|001000000000000000000000100|
|001000000000000000000000100|
|001110011110010011110011100|
|000000010000010000010000000|
|000000010000010000010000000|
|110010010011111110010010011|
|$$00100000000000000000100$$|
|$$00100000000000000000100$$|
|001110011110010011110011100|
|000000010000010000010000000|
|000000010000010000010000000|
|001110010011111110010011100|
|000000010000000000010000000|
|000000010000000000010000000|
----------------------------
